COLUMNS: 
  time
  root_link:T:-X
  root_link:T:-Y
  root_link:T:Z
  root_link:R:-X:rad
  root_link:R:-Y:rad
  root_link:R:Z:rad
  l_hip_1:R:X:rad
  l_hip_2:R:-Z:rad
  l_upper_leg:R:Y:rad
  l_lower_leg:R:X:rad
  l_ankle_1:R:-X:rad
  l_ankle_2:R:-Z:rad
  r_hip_1:R:-X:rad
  r_hip_2:R:-Z:rad
  r_upper_leg:R:-Y:rad
  r_lower_leg:R:-X:rad
  r_ankle_1:R:X:rad
  r_ankle_2:R:-Z:rad
  torso_1:R:X:rad
  torso_2:R:-Z:rad
  chest:R:-Y:rad
  DATA:

0.000000e+00,	3.606503e-02,	5.046615e-03,	5.791082e-01,	-8.898785e-02,	4.409830e-01,	1.637967e-01,	8.471585e-01,	-2.424530e-02,	-1.504681e-01,	-6.998365e-01,	-2.997594e-01,	-1.788627e-02,	7.867248e-01,	2.340839e-02,	1.487343e-01,	-6.796356e-01,	-3.394252e-01,	9.116131e-03,	-4.489438e-01,	-1.835645e-02,	1.480301e-01
2.000000e-03,	3.499755e-02,	5.051745e-03,	5.793323e-01,	-8.870315e-02,	4.377310e-01,	1.635164e-01,	8.462708e-01,	-2.412773e-02,	-1.505927e-01,	-6.982813e-01,	-2.958387e-01,	-1.807656e-02,	7.858938e-01,	2.373797e-02,	1.486560e-01,	-6.783395e-01,	-3.356406e-01,	8.825741e-03,	-4.456928e-01,	-1.867382e-02,	1.480058e-01
2.000000e-03,	3.446900e-02,	5.053705e-03,	5.794218e-01,	-8.858827e-02,	4.365995e-01,	1.634200e-01,	8.458039e-01,	-2.416040e-02,	-1.505970e-01,	-6.975983e-01,	-2.944778e-01,	-1.805379e-02,	7.854676e-01,	2.377422e-02,	1.486554e-01,	-6.777389e-01,	-3.343214e-01,	8.803016e-03,	-4.445592e-01,	-1.876790e-02,	1.479977e-01
3.000000e-03,	3.429719e-02,	5.053705e-03,	5.794573e-01,	-8.854203e-02,	4.362068e-01,	1.633858e-01,	8.455874e-01,	-2.416903e-02,	-1.505966e-01,	-6.973070e-01,	-2.940055e-01,	-1.804562e-02,	7.852668e-01,	2.378444e-02,	1.486537e-01,	-6.774780e-01,	-3.338635e-01,	8.795073e-03,	-4.441649e-01,	-1.879457e-02,	1.479942e-01
4.000000e-03,	3.424200e-02,	5.053236e-03,	5.794713e-01,	-8.852337e-02,	4.360706e-01,	1.633735e-01,	8.454917e-01,	-2.417075e-02,	-1.505958e-01,	-6.971854e-01,	-2.938416e-01,	-1.804315e-02,	7.851775e-01,	2.378686e-02,	1.486525e-01,	-6.773679e-01,	-3.337048e-01,	8.792760e-03,	-4.440278e-01,	-1.880136e-02,	1.479926e-01
5.000000e-03,	3.422453e-02,	5.052827e-03,	5.794769e-01,	-8.851584e-02,	4.360235e-01,	1.633691e-01,	8.454508e-01,	-2.417077e-02,	-1.505954e-01,	-6.971353e-01,	-2.937847e-01,	-1.804258e-02,	7.851391e-01,	2.378720e-02,	1.486520e-01,	-6.773224e-01,	-3.336499e-01,	8.792275e-03,	-4.439801e-01,	-1.880272e-02,	1.479919e-01
6.000000e-03,	3.421912e-02,	5.052570e-03,	5.794790e-01,	-8.851280e-02,	4.360071e-01,	1.633676e-01,	8.454336e-01,	-2.417054e-02,	-1.505951e-01,	-6.971150e-01,	-2.937650e-01,	-1.804254e-02,	7.851230e-01,	2.378710e-02,	1.486517e-01,	-6.773038e-01,	-3.336309e-01,	8.792275e-03,	-4.439635e-01,	-1.880279e-02,	1.479916e-01
7.000000e-03,	3.421748e-02,	5.052429e-03,	5.794799e-01,	-8.851157e-02,	4.360015e-01,	1.633670e-01,	8.454265e-01,	-2.417035e-02,	-1.505950e-01,	-6.971068e-01,	-2.937582e-01,	-1.804260e-02,	7.851163e-01,	2.378697e-02,	1.486516e-01,	-6.772963e-01,	-3.336244e-01,	8.792355e-03,	-4.439578e-01,	-1.880266e-02,	1.479915e-01
8.000000e-03,	3.421701e-02,	5.052359e-03,	5.794802e-01,	-8.851108e-02,	4.359995e-01,	1.633668e-01,	8.454236e-01,	-2.417025e-02,	-1.505950e-01,	-6.971035e-01,	-2.937558e-01,	-1.804265e-02,	7.851136e-01,	2.378689e-02,	1.486515e-01,	-6.772934e-01,	-3.336221e-01,	8.792418e-03,	-4.439558e-01,	-1.880255e-02,	1.479914e-01
9.000000e-03,	3.421688e-02,	5.052325e-03,	5.794803e-01,	-8.851088e-02,	4.359988e-01,	1.633667e-01,	8.454225e-01,	-2.417019e-02,	-1.505949e-01,	-6.971022e-01,	-2.937549e-01,	-1.804269e-02,	7.851125e-01,	2.378685e-02,	1.486515e-01,	-6.772922e-01,	-3.336213e-01,	8.792455e-03,	-4.439551e-01,	-1.880249e-02,	1.479914e-01
1.000000e-02,	3.421685e-02,	5.052310e-03,	5.794804e-01,	-8.851081e-02,	4.359986e-01,	1.633667e-01,	8.454220e-01,	-2.417017e-02,	-1.505949e-01,	-6.971017e-01,	-2.937547e-01,	-1.804270e-02,	7.851121e-01,	2.378683e-02,	1.486515e-01,	-6.772917e-01,	-3.336210e-01,	8.792474e-03,	-4.439548e-01,	-1.880246e-02,	1.479914e-01
1.100000e-02,	3.421684e-02,	5.052303e-03,	5.794804e-01,	-8.851078e-02,	4.359985e-01,	1.633667e-01,	8.454218e-01,	-2.417016e-02,	-1.505949e-01,	-6.971015e-01,	-2.937546e-01,	-1.804271e-02,	7.851119e-01,	2.378682e-02,	1.486515e-01,	-6.772915e-01,	-3.336210e-01,	8.792484e-03,	-4.439547e-01,	-1.880244e-02,	1.479914e-01
1.200000e-02,	3.421684e-02,	5.052300e-03,	5.794804e-01,	-8.851076e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971014e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772915e-01,	-3.336209e-01,	8.792488e-03,	-4.439547e-01,	-1.880244e-02,	1.479914e-01
1.300000e-02,	3.421684e-02,	5.052299e-03,	5.794804e-01,	-8.851076e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792490e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
1.400000e-02,	3.421684e-02,	5.052298e-03,	5.794804e-01,	-8.851076e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792491e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
1.500000e-02,	3.421684e-02,	5.052298e-03,	5.794804e-01,	-8.851076e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792491e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
1.600000e-02,	3.421684e-02,	5.052298e-03,	5.794804e-01,	-8.851075e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792491e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
1.700000e-02,	3.421684e-02,	5.052298e-03,	5.794804e-01,	-8.851075e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792491e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
1.800000e-02,	3.421684e-02,	5.052298e-03,	5.794804e-01,	-8.851075e-02,	4.359985e-01,	1.633667e-01,	8.454217e-01,	-2.417015e-02,	-1.505949e-01,	-6.971013e-01,	-2.937545e-01,	-1.804272e-02,	7.851118e-01,	2.378681e-02,	1.486515e-01,	-6.772914e-01,	-3.336209e-01,	8.792491e-03,	-4.439547e-01,	-1.880243e-02,	1.479914e-01
