2.356148e-02,	3.827786e-04,	4.439807e-01,	1.178074e-02,	1.913893e-04,	2.219904e-01,	-1.026703e+00,	-1.074094e+00,	-4.710072e-02,	
2.354413e-02,	3.432489e-04,	4.439824e-01,	1.177207e-02,	1.716245e-04,	2.219912e-01,	-4.292340e-01,	-2.958027e-02,	7.876767e-02,	
2.352386e-02,	3.831212e-04,	4.439891e-01,	1.176193e-02,	1.915606e-04,	2.219946e-01,	6.017173e-01,	-8.633542e-01,	-1.913847e-01,	
2.357916e-02,	4.120159e-04,	4.440047e-01,	1.178958e-02,	2.060079e-04,	2.220023e-01,	-8.897049e-01,	-2.565621e-01,	-3.677850e-01,	
2.360628e-02,	3.814391e-04,	4.440122e-01,	1.180314e-02,	1.907196e-04,	2.220061e-01,	-1.077020e-01,	7.274697e-01,	-6.163212e-02,	
2.365915e-02,	3.897456e-04,	4.440159e-01,	1.182957e-02,	1.948728e-04,	2.220080e-01,	-1.373624e+00,	-1.795095e+00,	-5.798892e-01,	
2.364862e-02,	4.057641e-04,	4.440106e-01,	1.182431e-02,	2.028820e-04,	2.220053e-01,	1.942658e+00,	-5.179046e-01,	-1.745857e-01,	
2.359597e-02,	3.974655e-04,	4.440054e-01,	1.179798e-02,	1.987328e-04,	2.220027e-01,	3.189935e+00,	2.004000e+00,	4.615567e-01,	
2.359423e-02,	3.994071e-04,	4.440160e-01,	1.179712e-02,	1.997036e-04,	2.220080e-01,	-6.128057e-01,	1.480794e+00,	9.804118e-02,	
2.357280e-02,	4.160425e-04,	4.440204e-01,	1.178640e-02,	2.080213e-04,	2.220102e-01,	-2.801277e-02,	8.161982e-02,	-1.548190e-02,	
2.357499e-02,	3.986734e-04,	4.440198e-01,	1.178750e-02,	1.993367e-04,	2.220099e-01,	6.795947e-02,	-8.117346e-01,	-1.053224e-02,	
2.357015e-02,	3.806391e-04,	4.440230e-01,	1.178508e-02,	1.903196e-04,	2.220115e-01,	-4.900271e-01,	6.981537e-01,	1.125431e-01,	
2.352783e-02,	4.118464e-04,	4.440197e-01,	1.176391e-02,	2.059232e-04,	2.220098e-01,	-1.989167e+00,	-1.797139e-01,	-3.344190e-02,	
2.351893e-02,	4.124234e-04,	4.440225e-01,	1.175946e-02,	2.062117e-04,	2.220112e-01,	-1.243180e+00,	-1.483303e-01,	-2.653705e-01,	
2.341691e-02,	3.992211e-04,	4.440570e-01,	1.170845e-02,	1.996105e-04,	2.220285e-01,	-1.870687e+00,	-1.771320e-01,	1.959857e+00,	
2.315068e-02,	3.974173e-04,	4.441504e-01,	1.157534e-02,	1.987087e-04,	2.220752e-01,	-4.823869e+00,	8.788832e-01,	1.077944e+00,	
2.263158e-02,	4.452000e-04,	4.442593e-01,	1.131579e-02,	2.226000e-04,	2.221297e-01,	2.630957e+00,	-3.057588e-01,	-6.275523e-01,	
2.244725e-02,	4.207656e-04,	4.443150e-01,	1.122362e-02,	2.103828e-04,	2.221575e-01,	1.726330e-01,	7.431775e-01,	2.770272e-01,	
2.251093e-02,	4.332750e-04,	4.443304e-01,	1.125546e-02,	2.166375e-04,	2.221652e-01,	2.503806e-01,	-1.511759e+00,	4.639085e-02,	
2.245503e-02,	4.080591e-04,	4.443275e-01,	1.122751e-02,	2.040295e-04,	2.221637e-01,	-2.101411e+00,	-4.221358e-01,	-5.471029e-02,	
2.240892e-02,	3.970658e-04,	4.443099e-01,	1.120446e-02,	1.985329e-04,	2.221549e-01,	-1.405397e+00,	-2.002559e-01,	1.979215e-01,	
2.243700e-02,	4.208715e-04,	4.443175e-01,	1.121850e-02,	2.104357e-04,	2.221587e-01,	-2.215615e+00,	3.250639e-01,	-6.527348e-01,	
2.240570e-02,	4.503459e-04,	4.443159e-01,	1.120285e-02,	2.251730e-04,	2.221580e-01,	-8.413387e-01,	-6.240875e-02,	-5.472058e-01,	
2.236557e-02,	4.256171e-04,	4.443087e-01,	1.118278e-02,	2.128086e-04,	2.221544e-01,	-4.472918e-01,	1.419709e+00,	-1.683726e-01,	
2.233335e-02,	4.387057e-04,	4.443153e-01,	1.116668e-02,	2.193528e-04,	2.221576e-01,	-2.503971e+00,	-4.356233e-01,	-5.517453e-01,	
2.232234e-02,	4.183640e-04,	4.443188e-01,	1.116117e-02,	2.091820e-04,	2.221594e-01,	-3.533127e-01,	-9.185607e-01,	2.944337e-01,	
2.227714e-02,	3.724993e-04,	4.443195e-01,	1.113857e-02,	1.862496e-04,	2.221598e-01,	4.466510e-01,	1.355676e-01,	4.861777e-01,	
2.223380e-02,	3.817948e-04,	4.443179e-01,	1.111690e-02,	1.908974e-04,	2.221590e-01,	-3.375655e+00,	2.622979e-01,	-3.284795e-01,	
2.221702e-02,	3.775139e-04,	4.443153e-01,	1.110851e-02,	1.887569e-04,	2.221577e-01,	-2.047266e+00,	4.838699e-01,	-3.804437e-01,	
2.217423e-02,	3.703005e-04,	4.443063e-01,	1.108712e-02,	1.851502e-04,	2.221532e-01,	9.816741e-01,	1.011520e+00,	9.199894e-02,	
2.207953e-02,	3.908478e-04,	4.443095e-01,	1.103976e-02,	1.954239e-04,	2.221548e-01,	9.367718e-01,	1.125388e-01,	-5.583299e-02,	
2.206668e-02,	3.440825e-04,	4.443098e-01,	1.103334e-02,	1.720413e-04,	2.221549e-01,	1.629522e+00,	1.069902e+00,	3.112840e-01,	
2.206262e-02,	3.249195e-04,	4.443164e-01,	1.103131e-02,	1.624597e-04,	2.221582e-01,	1.382038e+00,	6.442130e-02,	4.931060e-01,	
2.196742e-02,	3.435278e-04,	4.443149e-01,	1.098371e-02,	1.717639e-04,	2.221574e-01,	9.992241e-01,	-6.491757e-01,	4.874022e-01,	
2.183661e-02,	3.003544e-04,	4.443045e-01,	1.091830e-02,	1.501772e-04,	2.221522e-01,	7.283766e-01,	9.198943e-01,	3.252215e-01,	
2.174713e-02,	2.843537e-04,	4.443070e-01,	1.087356e-02,	1.421769e-04,	2.221535e-01,	-2.293889e+00,	-1.855693e+00,	-3.093685e-01,	
2.163879e-02,	2.637293e-04,	4.443018e-01,	1.081940e-02,	1.318647e-04,	2.221509e-01,	2.037889e-01,	-1.490902e+00,	7.474023e-03,	
2.158119e-02,	2.476892e-04,	4.442944e-01,	1.079059e-02,	1.238446e-04,	2.221472e-01,	-7.687919e-01,	6.312620e-01,	-8.799257e-02,	
2.150449e-02,	2.275355e-04,	4.443022e-01,	1.075224e-02,	1.137678e-04,	2.221511e-01,	-8.758397e-01,	6.637832e-01,	-1.201167e-01,	
2.134735e-02,	2.026978e-04,	4.443021e-01,	1.067368e-02,	1.013489e-04,	2.221510e-01,	5.483945e-01,	-1.637932e+00,	2.665229e-01,	
2.124182e-02,	1.784409e-04,	4.442972e-01,	1.062091e-02,	8.922046e-05,	2.221486e-01,	-2.261378e+00,	3.477815e-01,	-6.741780e-01,	
2.107546e-02,	1.442849e-04,	4.442852e-01,	1.053773e-02,	7.214245e-05,	2.221426e-01,	-5.236114e-01,	6.096750e-01,	1.085593e-01,	
2.097522e-02,	1.446223e-04,	4.442872e-01,	1.048761e-02,	7.231115e-05,	2.221436e-01,	-4.743893e-02,	-8.081684e-01,	-7.739281e-02,	
2.086571e-02,	1.035440e-04,	4.442833e-01,	1.043286e-02,	5.177198e-05,	2.221416e-01,	-1.091432e+00,	6.829677e-01,	6.184509e-02,	
2.065116e-02,	6.077619e-05,	4.442832e-01,	1.032558e-02,	3.038809e-05,	2.221416e-01,	-1.518967e-01,	7.218012e-01,	-5.416156e-03,	
2.060169e-02,	4.354630e-05,	4.442802e-01,	1.030084e-02,	2.177315e-05,	2.221401e-01,	-6.174549e+00,	-2.058935e-01,	-3.727098e-01,	
2.042230e-02,	8.135910e-06,	4.442764e-01,	1.021115e-02,	4.067955e-06,	2.221382e-01,	-2.673800e+00,	-1.842266e+00,	-3.239139e-01,	
