45.319476 0.317494 121.516168 0.94812 -3.242762 -0.354299	45.319476 0.317494 121.516168 0.94812 -3.242762 -0.354299
110.561142 -7.621982 212.305716 1.16961 2.029814 -0.177478	110.561142 -7.621982 212.305716 1.16961 2.029814 -0.177478
111.796925 -7.195958 213.325976 1.31828 2.06431 -0.275501	111.796925 -7.195958 213.325976 1.31828 2.06431 -0.275501
112.834032 -5.103185 215.171075 1.367513 2.360187 -0.264865	112.834032 -5.103185 215.171075 1.367513 2.360187 -0.264865
111.873066 -7.833069 213.8956 1.348612 2.278101 -0.16892	111.873066 -7.833069 213.8956 1.348612 2.278101 -0.16892
114.533395 -8.314321 214.969428 1.420076 2.504906 -0.153071	114.533395 -8.314321 214.969428 1.420076 2.504906 -0.153071
115.525114 -8.183016 215.283248 1.528752 2.7585 -0.226174	115.525114 -8.183016 215.283248 1.528752 2.7585 -0.226174
120.313607 -9.651185 225.244949 1.73845 3.079621 -0.217127	120.313607 -9.651185 225.244949 1.73845 3.079621 -0.217127
118.233675 -10.456362 223.297343 1.809506 3.177095 -0.335796	118.233675 -10.456362 223.297343 1.809506 3.177095 -0.335796
116.642764 -11.179304 222.269888 1.786448 3.142116 -0.304059	116.642764 -11.179304 222.269888 1.786448 3.142116 -0.304059
118.051192 -11.718419 222.892343 1.768184 3.108156 -0.298804	118.051192 -11.718419 222.892343 1.768184 3.108156 -0.298804
114.865702 -10.872733 217.956823 1.595004 2.893586 -0.258343	114.865702 -10.872733 217.956823 1.595004 2.893586 -0.258343
115.625755 -9.440039 219.291152 1.483053 2.887711 -0.249002	115.625755 -9.440039 219.291152 1.483053 2.887711 -0.249002
112.854595 -10.157508 216.079347 1.32184 2.669368 -0.152313	112.854595 -10.157508 216.079347 1.32184 2.669368 -0.152313
111.673945 -8.511014 216.962957 1.246631 2.626945 -0.120454	111.673945 -8.511014 216.962957 1.246631 2.626945 -0.120454
111.758556 -8.951699 215.428921 1.218438 2.554174 -0.049426	111.758556 -8.951699 215.428921 1.218438 2.554174 -0.049426
111.592374 -9.672875 213.196501 1.178101 2.474841 -0.060806	111.592374 -9.672875 213.196501 1.178101 2.474841 -0.060806
110.843822 -9.514594 213.149243 1.178788 2.387803 -0.029009	110.843822 -9.514594 213.149243 1.178788 2.387803 -0.029009
110.575575 -9.141525 212.875706 1.167354 2.343127 -0.056665	110.575575 -9.141525 212.875706 1.167354 2.343127 -0.056665
109.577432 -8.629415 211.900271 1.166331 2.289785 -0.026929	109.577432 -8.629415 211.900271 1.166331 2.289785 -0.026929
109.230758 -8.766098 212.087487 1.176985 2.266915 -0.01676	109.230758 -8.766098 212.087487 1.176985 2.266915 -0.01676
109.660615 -8.901865 212.219912 1.182718 2.250294 -0.036252	109.660615 -8.901865 212.219912 1.182718 2.250294 -0.036252
109.89041 -8.773957 211.700782 1.18705 2.237107 -0.040479	109.89041 -8.773957 211.700782 1.18705 2.237107 -0.040479
110.353031 -9.189798 211.717156 1.214729 2.255349 -0.070529	110.353031 -9.189798 211.717156 1.214729 2.255349 -0.070529
110.895397 -9.217457 214.354402 1.346134 2.377574 -0.099197	110.895397 -9.217457 214.354402 1.346134 2.377574 -0.099197
113.376333 -9.674778 216.226156 1.433586 2.467118 -0.119261	113.376333 -9.674778 216.226156 1.433586 2.467118 -0.119261
112.189844 -9.244588 216.51564 1.488054 2.461618 -0.133621	112.189844 -9.244588 216.51564 1.488054 2.461618 -0.133621
115.185503 -10.659605 219.582079 1.589992 2.5657 -0.155853	115.185503 -10.659605 219.582079 1.589992 2.5657 -0.155853
114.418167 -9.942513 218.528298 1.580839 2.493017 -0.184679	114.418167 -9.942513 218.528298 1.580839 2.493017 -0.184679
114.353869 -9.492979 218.652379 1.592082 2.508744 -0.15121	114.353869 -9.492979 218.652379 1.592082 2.508744 -0.15121
115.128054 -10.673203 220.268187 1.611471 2.532476 -0.179698	115.128054 -10.673203 220.268187 1.611471 2.532476 -0.179698
113.600842 -8.715164 219.839592 1.572807 2.452356 -0.160787	113.600842 -8.715164 219.839592 1.572807 2.452356 -0.160787
113.765482 -9.536459 217.615822 1.547397 2.431345 -0.134862	113.765482 -9.536459 217.615822 1.547397 2.431345 -0.134862
113.597862 -9.486582 218.186355 1.522686 2.438098 -0.156268	113.597862 -9.486582 218.186355 1.522686 2.438098 -0.156268
113.000421 -9.004979 217.408243 1.488856 2.359779 -0.143855	113.000421 -9.004979 217.408243 1.488856 2.359779 -0.143855
112.809965 -9.620492 215.335625 1.454372 2.324287 -0.16295	112.809965 -9.620492 215.335625 1.454372 2.324287 -0.16295
111.34606 -8.233141 214.876554 1.390485 2.261762 -0.106699	111.34606 -8.233141 214.876554 1.390485 2.261762 -0.106699
110.371449 -8.849129 213.890396 1.360733 2.228692 -0.097373	110.371449 -8.849129 213.890396 1.360733 2.228692 -0.097373
110.449027 -8.473446 214.709576 1.335102 2.229315 -0.070607	110.449027 -8.473446 214.709576 1.335102 2.229315 -0.070607
110.73731 -9.04853 213.175172 1.289961 2.195812 -0.066827	110.73731 -9.04853 213.175172 1.289961 2.195812 -0.066827
110.216722 -8.545353 212.817318 1.260239 2.197511 -0.068497	110.216722 -8.545353 212.817318 1.260239 2.197511 -0.068497
110.514029 -9.039965 213.448196 1.24083 2.247334 -0.052987	110.514029 -9.039965 213.448196 1.24083 2.247334 -0.052987
110.386385 -8.707733 212.255625 1.242481 2.321066 -0.038024	110.386385 -8.707733 212.255625 1.242481 2.321066 -0.038024
111.304433 -9.541397 214.228122 1.288643 2.525534 -0.006203	111.304433 -9.541397 214.228122 1.288643 2.525534 -0.006203
113.018492 -10.705026 216.204223 1.323787 2.574324 -0.021064	113.018492 -10.705026 216.204223 1.323787 2.574324 -0.021064
112.207609 -9.940178 215.650985 1.300443 2.590872 -0.031169	112.207609 -9.940178 215.650985 1.300443 2.590872 -0.031169
114.465231 -10.074301 219.386072 1.303021 2.643448 -0.035558	114.465231 -10.074301 219.386072 1.303021 2.643448 -0.035558
111.487012 -9.254557 214.839842 1.264543 2.554602 -0.010406	111.487012 -9.254557 214.839842 1.264543 2.554602 -0.010406
113.135129 -10.377634 216.89709 1.293149 2.623226 0.012905	113.135129 -10.377634 216.89709 1.293149 2.623226 0.012905
113.2358 -9.933094 218.476187 1.257885 2.605831 -0.006158	113.2358 -9.933094 218.476187 1.257885 2.605831 -0.006158
112.119373 -10.323033 214.603666 1.223994 2.522828 0.010052	112.119373 -10.323033 214.603666 1.223994 2.522828 0.010052
112.396351 -10.075101 216.664049 1.227112 2.587218 -0.007356	112.396351 -10.075101 216.664049 1.227112 2.587218 -0.007356
111.618068 -9.789333 215.783843 1.189657 2.527267 -0.015147	111.618068 -9.789333 215.783843 1.189657 2.527267 -0.015147
111.332015 -10.20767 214.636767 1.198859 2.596972 -0.021001	111.332015 -10.20767 214.636767 1.198859 2.596972 -0.021001
112.318634 -10.224596 216.489365 1.216538 2.659116 -0.019272	112.318634 -10.224596 216.489365 1.216538 2.659116 -0.019272
112.694761 -10.974375 215.977753 1.227167 2.707492 -0.033463	112.694761 -10.974375 215.977753 1.227167 2.707492 -0.033463
113.043197 -11.295176 217.758636 1.250262 2.805389 -0.070043	113.043197 -11.295176 217.758636 1.250262 2.805389 -0.070043
113.866102 -10.866446 218.407076 1.242335 2.837871 -0.082384	113.866102 -10.866446 218.407076 1.242335 2.837871 -0.082384
